country,pop_density
togo,145.04677330391598
tonga,143.329166666667
trinidad and tobago,270.927485380117
tunisia,74.44132337796091
turkey,106.960128893104
turkmenistan,12.450594769433696
turks and caicos islands,39.64736842105261
tuvalu,383.6
us,35.766088580168
uganda,213.06173449032502
ukraine,77.02966735141291
united arab emirates,135.609110109828
united kingdom,274.82739222089003
upper middle income,45.4691766291018
uruguay,19.7080276539824
uzbekistan,77.46920545369059
vanuatu,24.0098441345365
"venezuela, rb",32.7307919052208
vietnam,308.12524591221296
virgin islands (u.s.),305.648571428571
west bank and gaza,758.984551495017
world,59.636236261178205
"yemen, rep.",53.9778529083092
zambia,23.341478900711603
zimbabwe,37.3245909267158
